"sample_size","scalar","cohensd","perc_type2"
50,3,0.6,0.1426
50,3,0.7,0.0592
50,3,0.8,0.0166
50,3,0.9,0.0053
50,3,1,6e-04
100,3,0.1,0.877
100,3,0.2,0.7039
100,3,0.3,0.4203
100,3,0.4,0.192
100,3,0.5,0.0519
100,3,0.6,0.0107
100,3,0.7,0.001
100,3,0.8,0
100,3,0.9,0
100,3,1,0
10,4,0.1,0.9533
10,4,0.2,0.9328
10,4,0.3,0.9062
10,4,0.4,0.8696
10,4,0.5,0.8171
10,4,0.6,0.7592
10,4,0.7,0.6727
10,4,0.8,0.5749
10,4,0.9,0.4803
10,4,1,0.3927
20,4,0.1,0.9464
20,4,0.2,0.9097
20,4,0.3,0.8483
20,4,0.4,0.7752
20,4,0.5,0.6649
20,4,0.6,0.5433
20,4,0.7,0.4077
20,4,0.8,0.2754
20,4,0.9,0.1845
20,4,1,0.1112
35,4,0.1,0.9342
35,4,0.2,0.8748
35,4,0.3,0.7535
35,4,0.4,0.616
35,4,0.5,0.4488
35,4,0.6,0.291
35,4,0.7,0.1661
35,4,0.8,0.0704
35,4,0.9,0.0373
35,4,1,0.0113
50,4,0.1,0.917
50,4,0.2,0.8312
50,4,0.3,0.6641
50,4,0.4,0.5022
50,4,0.5,0.2884
50,4,0.6,0.1493
50,4,0.7,0.058
50,4,0.8,0.0144
50,4,0.9,0.0062
50,4,1,0.0013
100,4,0.1,0.881
100,4,0.2,0.7112
100,4,0.3,0.4161
100,4,0.4,0.2001
100,4,0.5,0.0563
100,4,0.6,0.0099
100,4,0.7,0.001
100,4,0.8,3e-04
100,4,0.9,0
100,4,1,0
10,5,0.1,0.953
10,5,0.2,0.9402
10,5,0.3,0.904
10,5,0.4,0.872
10,5,0.5,0.8085
10,5,0.6,0.7545
10,5,0.7,0.6701
10,5,0.8,0.58
10,5,0.9,0.5049
10,5,1,0.3958
20,5,0.1,0.943
20,5,0.2,0.9106
20,5,0.3,0.8478
20,5,0.4,0.7678
20,5,0.5,0.6583
20,5,0.6,0.5334
20,5,0.7,0.3996
20,5,0.8,0.2617
20,5,0.9,0.18
20,5,1,0.1099
35,5,0.1,0.9287
35,5,0.2,0.8706
35,5,0.3,0.7526
35,5,0.4,0.6204
35,5,0.5,0.4472
35,5,0.6,0.2869
35,5,0.7,0.1673
35,5,0.8,0.0646
35,5,0.9,0.0361
35,5,1,0.0111
50,5,0.1,0.9187
50,5,0.2,0.8378
50,5,0.3,0.676
50,5,0.4,0.4927
50,5,0.5,0.293
50,5,0.6,0.1467
50,5,0.7,0.0634
50,5,0.8,0.0145
50,5,0.9,0.0056
50,5,1,7e-04
100,5,0.1,0.8789
100,5,0.2,0.7069
100,5,0.3,0.4225
100,5,0.4,0.1988
100,5,0.5,0.053
100,5,0.6,0.0099
100,5,0.7,0.0012
100,5,0.8,0
100,5,0.9,0
100,5,1,0
10,6,0.1,0.9539
10,6,0.2,0.935
10,6,0.3,0.9058
10,6,0.4,0.8709
10,6,0.5,0.8148
10,6,0.6,0.7538
10,6,0.7,0.6723
10,6,0.8,0.5696
10,6,0.9,0.4987
10,6,1,0.4026
20,6,0.1,0.9416
20,6,0.2,0.9119
20,6,0.3,0.8467
20,6,0.4,0.7707
20,6,0.5,0.6525
20,6,0.6,0.5421
20,6,0.7,0.4041
20,6,0.8,0.2696
20,6,0.9,0.1902
20,6,1,0.1122
35,6,0.1,0.9305
35,6,0.2,0.8708
35,6,0.3,0.7527
35,6,0.4,0.6172
35,6,0.5,0.4522
35,6,0.6,0.2914
35,6,0.7,0.1677
35,6,0.8,0.0749
35,6,0.9,0.0344
35,6,1,0.0103
50,6,0.1,0.9218
50,6,0.2,0.8294
50,6,0.3,0.6699
50,6,0.4,0.4821
50,6,0.5,0.2884
50,6,0.6,0.1489
50,6,0.7,0.0616
50,6,0.8,0.0154
50,6,0.9,0.005
50,6,1,0.0011
100,6,0.1,0.8821
100,6,0.2,0.7147
100,6,0.3,0.4251
100,6,0.4,0.193
100,6,0.5,0.0524
100,6,0.6,0.0099
100,6,0.7,0.0011
100,6,0.8,0
100,6,0.9,0
100,6,1,0
10,7,0.1,0.9553
10,7,0.2,0.9372
10,7,0.3,0.9093
10,7,0.4,0.8653
10,7,0.5,0.8178
10,7,0.6,0.7489
10,7,0.7,0.673
10,7,0.8,0.5728
10,7,0.9,0.4955
10,7,1,0.3975
20,7,0.1,0.9442
20,7,0.2,0.9111
20,7,0.3,0.8548
20,7,0.4,0.7696
20,7,0.5,0.6511
20,7,0.6,0.5249
20,7,0.7,0.4098
20,7,0.8,0.2814
20,7,0.9,0.1845
20,7,1,0.109
35,7,0.1,0.9333
35,7,0.2,0.8743
35,7,0.3,0.7549
35,7,0.4,0.6165
35,7,0.5,0.4479
35,7,0.6,0.2922
35,7,0.7,0.1682
35,7,0.8,0.0716
35,7,0.9,0.0336
35,7,1,0.0117
50,7,0.1,0.9193
50,7,0.2,0.8297
50,7,0.3,0.6703
50,7,0.4,0.482
50,7,0.5,0.291
50,7,0.6,0.1523
50,7,0.7,0.0574
50,7,0.8,0.0157
50,7,0.9,0.0046
50,7,1,6e-04
100,7,0.1,0.8795
100,7,0.2,0.7064
100,7,0.3,0.4167
100,7,0.4,0.1903
100,7,0.5,0.0494
100,7,0.6,0.0113
100,7,0.7,0.0023
100,7,0.8,0
100,7,0.9,0
100,7,1,0
10,8,0.1,0.953
10,8,0.2,0.9331
10,8,0.3,0.9082
10,8,0.4,0.873
10,8,0.5,0.82
10,8,0.6,0.7486
10,8,0.7,0.6733
10,8,0.8,0.5736
10,8,0.9,0.4929
10,8,1,0.3962
20,8,0.1,0.939
20,8,0.2,0.9098
20,8,0.3,0.8444
20,8,0.4,0.7748
20,8,0.5,0.6524
20,8,0.6,0.5338
20,8,0.7,0.3977
20,8,0.8,0.2744
20,8,0.9,0.1904
20,8,1,0.1076
35,8,0.1,0.9305
35,8,0.2,0.8665
35,8,0.3,0.7594
35,8,0.4,0.6215
35,8,0.5,0.4525
35,8,0.6,0.2894
35,8,0.7,0.1653
35,8,0.8,0.0735
35,8,0.9,0.0346
35,8,1,0.0097
50,8,0.1,0.9162
50,8,0.2,0.8314
50,8,0.3,0.6726
50,8,0.4,0.4959
50,8,0.5,0.288
50,8,0.6,0.1432
50,8,0.7,0.0558
50,8,0.8,0.0159
50,8,0.9,0.0038
50,8,1,0.0019
100,8,0.1,0.88
100,8,0.2,0.7067
100,8,0.3,0.4236
100,8,0.4,0.1927
100,8,0.5,0.0519
100,8,0.6,0.0119
100,8,0.7,0.0012
100,8,0.8,0
100,8,0.9,0
100,8,1,0
10,9,0.1,0.9528
10,9,0.2,0.9357
10,9,0.3,0.9052
10,9,0.4,0.8648
10,9,0.5,0.8183
10,9,0.6,0.7469
10,9,0.7,0.6736
10,9,0.8,0.5789
10,9,0.9,0.4991
10,9,1,0.4015
20,9,0.1,0.939
20,9,0.2,0.9084
20,9,0.3,0.8469
20,9,0.4,0.7658
20,9,0.5,0.6591
20,9,0.6,0.5323
20,9,0.7,0.4054
20,9,0.8,0.2686
20,9,0.9,0.1883
20,9,1,0.1115
35,9,0.1,0.9282
35,9,0.2,0.8766
35,9,0.3,0.7673
35,9,0.4,0.627
35,9,0.5,0.4464
35,9,0.6,0.2953
35,9,0.7,0.1625
35,9,0.8,0.0712
35,9,0.9,0.0306
35,9,1,0.0111
50,9,0.1,0.9181
50,9,0.2,0.8256
50,9,0.3,0.6653
50,9,0.4,0.4962
50,9,0.5,0.2825
50,9,0.6,0.1449
50,9,0.7,0.0592
50,9,0.8,0.0159
50,9,0.9,0.0049
50,9,1,7e-04
100,9,0.1,0.885
100,9,0.2,0.7048
100,9,0.3,0.4175
100,9,0.4,0.1965
100,9,0.5,0.0517
100,9,0.6,0.0097
100,9,0.7,0.001
100,9,0.8,0
100,9,0.9,0
100,9,1,0
10,10,0.1,0.9525
10,10,0.2,0.9363
10,10,0.3,0.9102
10,10,0.4,0.8657
10,10,0.5,0.8109
10,10,0.6,0.754
10,10,0.7,0.6675
10,10,0.8,0.5613
10,10,0.9,0.496
10,10,1,0.3953
20,10,0.1,0.94
20,10,0.2,0.9096
20,10,0.3,0.8398
20,10,0.4,0.7692
20,10,0.5,0.6535
20,10,0.6,0.5427
20,10,0.7,0.4086
20,10,0.8,0.2652
20,10,0.9,0.1903
20,10,1,0.1011
35,10,0.1,0.9328
35,10,0.2,0.8777
35,10,0.3,0.7642
35,10,0.4,0.6227
35,10,0.5,0.442
35,10,0.6,0.2924
35,10,0.7,0.1592
35,10,0.8,0.0708
35,10,0.9,0.0345
35,10,1,0.0112
50,10,0.1,0.919
50,10,0.2,0.8316
50,10,0.3,0.6691
50,10,0.4,0.4895
50,10,0.5,0.2815
50,10,0.6,0.1454
50,10,0.7,0.058
50,10,0.8,0.0157
50,10,0.9,0.0053
50,10,1,6e-04
100,10,0.1,0.8845
100,10,0.2,0.7147
100,10,0.3,0.4205
100,10,0.4,0.1934
100,10,0.5,0.0525
100,10,0.6,0.0109
100,10,0.7,9e-04
100,10,0.8,2e-04
100,10,0.9,0
100,10,1,0
